,Title,Star Rating,Price
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Two,36.28
84,Patience,Three,10.16
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Four,15.44
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),One,48.41
87,Online Marketing for Busy Authors: A Step-By-Step Guide,One,46.35
88,On a Midnight Clear,Three,14.07
89,Obsidian (Lux #1),Two,14.86
90,My Paris Kitchen: Recipes and Stories,Two,33.37
91,Masks and Shadows,Two,56.4
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Four,14.02
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Two,46.91
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Three,45.61
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Two,19.92
96,"Layered: Baking, Building, and Styling Spectacular Cakes",One,40.11
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Two,53.9
98,Join,Five,35.67
99,In the Country We Love: My Family Divided,Four,22.0
100,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Five,57.36
101,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Two,29.17
102,I am a Hero Omnibus Volume 1,Three,54.63
103,How to Be Miserable: 40 Strategies You Already Use,One,46.03
104,Her Backup Boyfriend (The Sorensen Family #1),One,33.97
105,"Giant Days, Vol. 2 (Giant Days #5-8)",Two,22.11
106,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Three,29.69
107,First and First (Five Boroughs #3),Four,15.97
108,Fifty Shades Darker (Fifty Shades #2),One,21.96
109,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Two,54.35
110,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Two,37.97
111,Danganronpa Volume 1,Four,51.99
112,Crown of Midnight (Throne of Glass #2),Three,43.29
113,"Codename Baboushka, Volume 1: The Conclave of Death",Four,36.72
114,Camp Midnight,Four,17.08
115,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Five,29.14
116,Burning,Three,28.81
117,Bossypants,Two,49.46
118,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Two,37.92
119,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Two,28.09
120,Algorithms to Live By: The Computer Science of Human Decisions,One,30.81
121,A World of Flavor: Your Gluten Free Passport,One,42.95
122,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Five,56.76
123,A Murder in Time,One,16.64
124,A Flight of Arrows (The Pathfinders #2),Five,55.53
125,A Fierce and Subtle Poison,Four,28.13
126,A Court of Thorns and Roses (A Court of Thorns and Roses #1),One,52.37
127,(Un)Qualified: How God Uses Broken People to Do Big Things,Five,54.0
128,You Are What You Love: The Spiritual Power of Habit,Four,21.87
129,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Four,43.3
130,Tuesday Nights in 1980,Two,21.04
131,Tracing Numbers on a Train,Three,41.6
132,Throne of Glass (Throne of Glass #1),Three,35.07
133,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,One,59.64
134,Thirteen Reasons Why,One,52.72
135,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Four,58.08
136,The Wedding Dress,One,24.12
137,The Vacationers,Four,42.15
138,The Third Wave: An Entrepreneur’s Vision of the Future,Five,12.61
139,The Stranger,Four,17.44
140,The Shadow Hero (The Shadow Hero),One,33.14
141,The Secret (The Secret #1),Four,27.37
142,The Regional Office Is Under Attack!,Five,51.36
143,The Psychopath Test: A Journey Through the Madness Industry,Two,36.0
144,The Project,One,10.65
145,The Power of Now: A Guide to Spiritual Enlightenment,Two,43.54
146,The Omnivore's Dilemma: A Natural History of Four Meals,Two,38.21
147,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Five,37.34
148,The Murder of Roger Ackroyd (Hercule Poirot #4),Four,44.1
149,The Mistake (Off-Campus #2),Three,43.29
150,The Matchmaker's Playbook (Wingmen Inc. #1),One,55.85
151,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Two,37.6
152,The Long Shadow of Small Ghosts: Murder and Memory in an American City,One,10.97
153,The Kite Runner,Four,41.82
154,The House by the Lake,One,36.95
155,The Glittering Court (The Glittering Court #1),One,44.28
156,The Girl on the Train,Two,55.02
157,The Genius of Birds,One,17.24
158,The Emerald Mystery,Two,23.15
159,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,One,41.25
160,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Three,32.0
161,The Artist's Way: A Spiritual Path to Higher Creativity,Five,38.49
162,The Art of War,Five,33.34
163,The Argonauts,Two,10.93
164,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Three,27.55
165,Suddenly in Love (Lake Haven #1),Two,55.99
166,Something More Than This,Four,16.24
167,Soft Apocalypse,Two,26.12
168,So You've Been Publicly Shamed,Two,12.23
169,Shoe Dog: A Memoir by the Creator of NIKE,Two,23.99
170,"Shobu Samurai, Project Aryoku (#3)",Three,29.06
171,Secrets and Lace (Fatal Hearts #1),One,20.27
172,Scarlett Epstein Hates It Here,Five,43.55
173,Romero and Juliet: A Tragic Tale of Love and Zombies,One,36.94
174,Redeeming Love,Five,20.47
175,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,One,41.06
176,Poems That Make Grown Women Cry,Four,14.19
177,"Nightingale, Sing",One,38.28
178,Night Sky with Exit Wounds,One,41.05
179,Mrs. Houdini,Five,30.25
